year,department_id,district_id,department,district,youth_turnout_18to29,youth_turnout_female,youth_turnout_male,young_18to29_register,young_18to29_participation,n_candidates,n_young,n_young_30,n_young_female,n_young_male,n_female,youth_cand_share,youth_cand_share_30,young_female_share,young_male_share,female_cand_share,mean_cand_age,n_candidates_mayor,n_young_mayor,n_female_mayor,youth_cand_share_mayor,female_cand_share_mayor,mean_cand_age_mayor,total_electors,log_total_electors,youth_share,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35
2006,0,0_0,CAPITAL,ASUNCION,0.43020143542567113,0.427937191289808,0.4326133688197359,100876,43397,336,82,49,26,56,140,0.24404761904761904,0.14583333333333334,0.07738095238095238,0.16666666666666666,0.4166666666666667,46.06845238095238,7,0,1,0,0.14285714285714285,50.42857142857143,358528,12.789762039179726,0.2813615672973938,44,49,54,63,72,77,82
2006,1,1_0,CONCEPCION,CONCEPCION,0.37205267723365665,0.39987658130206727,0.34295854170027423,12681,4718,72,24,11,5,19,22,0.3333333333333333,0.1527777777777778,0.06944444444444445,0.2638888888888889,0.3055555555555556,41.47222222222222,3,0,1,0,0.3333333333333333,46.333333333333336,41592,10.635663120063551,0.3048903635314484,9,11,13,15,17,20,24
2006,1,1_1,CONCEPCION,BELEN,0.423841059602649,0.4268774703557312,0.4212860310421286,1661,704,36,6,3,1,5,9,0.16666666666666666,0.08333333333333333,0.027777777777777776,0.1388888888888889,0.25,46.02777777777778,3,2,0,0.6666666666666666,0,34.333333333333336,5034,8.523970175695261,0.32995629717918157,2,3,3,4,5,5,6
2006,1,1_3,CONCEPCION,HORQUETA,0.41865319125563,0.4370440103553777,0.40255459414915534,9103,3811,72,25,10,6,19,20,0.3472222222222222,0.1388888888888889,0.08333333333333333,0.2638888888888889,0.2777777777777778,42.888888888888886,5,2,2,0.4,0.4,37.4,27222,10.21178074889202,0.3343986481522298,9,10,14,17,20,23,25
2006,1,1_5,CONCEPCION,LORETO,0.43641868512110726,0.4534995206136146,0.4223798266351458,2312,1009,27,8,6,2,6,9,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.3333333333333333,44.074074074074076,2,1,0,0.5,0,36.5,7381,8.906664409770052,0.31323668879555616,5,6,6,6,6,8,8
2006,1,1_7,CONCEPCION,SAN LAZARO,0.5854700854700855,0.5878712871287128,0.5831325301204819,1638,959,36,10,5,1,9,10,0.2777777777777778,0.1388888888888889,0.027777777777777776,0.25,0.2777777777777778,41.361111111111114,3,1,0,0.3333333333333333,0,44,5414,8.596743470174246,0.30254894717399333,4,5,6,7,9,9,10
2006,1,1_9,CONCEPCION,YBY YAU,0.4457161543492479,0.46098265895953755,0.43309438470728795,3058,1363,47,18,11,5,13,14,0.3829787234042553,0.23404255319148937,0.10638297872340426,0.2765957446808511,0.2978723404255319,41.829787234042556,3,1,0,0.3333333333333333,0,40.666666666666664,9373,9.145588494746486,0.32625626800384083,11,11,12,13,16,18,18
2006,2,2_0,SAN PEDRO,SAN PEDRO DEL YCUAMANDIYU,0.5305351104038194,0.559322033898305,0.5038343558282209,5027,2667,48,14,7,4,10,13,0.2916666666666667,0.14583333333333334,0.08333333333333333,0.20833333333333334,0.2708333333333333,44.5,4,0,1,0,0.25,41.25,16349,9.701922012375412,0.30748057985197874,6,7,9,9,10,11,14
2006,2,2_1,SAN PEDRO,25 DE DICIEMBRE,0.5387021110242377,0.5740432612312812,0.5073746312684366,1279,689,45,10,3,4,6,12,0.2222222222222222,0.06666666666666667,0.08888888888888889,0.13333333333333333,0.26666666666666666,46.51111111111111,5,1,0,0.2,0,42.6,4713,8.45807992692373,0.27137704222363673,3,3,4,5,8,9,10
2006,2,2_3,SAN PEDRO,ANTEQUERA,0.6452261306532663,0.6724890829694323,0.6219739292364991,995,642,27,7,4,4,3,11,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.4074074074074074,45.55555555555556,2,0,1,0,0.5,47.5,2965,7.994632311431825,0.33558178752107926,4,4,4,5,6,7,7
