unit,district,department,year,n_young,n_candidates,young_18to29_participation,young_18to29_register,total_electors,n_young_mayor,n_candidates_mayor,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35,youth_cand_share,youth_turnout_18to29,youth_share,log_total_electors,post,youth_cand_share_mayor,youth_cand_share_le29,youth_cand_share_le30,youth_cand_share_le31,youth_cand_share_le32,youth_cand_share_le33,youth_cand_share_le34,youth_cand_share_le35
0_0,ASUNCION,CAPITAL,2006,82,336,43397,100876,358528,0,7,44,49,54,63,72,77,82,0.24404761904761904,0.43020143542567113,0.2813615672973938,12.789762039179726,0,0,0.13095238095238096,0.14583333333333334,0.16071428571428573,0.1875,0.21428571428571427,0.22916666666666666,0.24404761904761904
0_0,ASUNCION,CAPITAL,2010,96,336,44746,82998,359995,0,6,35,46,59,65,77,92,96,0.2857142857142857,0.5391214246126412,0.23055320212780733,12.793845421446953,1,0,0.10416666666666667,0.13690476190476192,0.17559523809523808,0.19345238095238096,0.22916666666666666,0.27380952380952384,0.2857142857142857
10_0,CIUDAD DEL ESTE,ALTO PARANA,2006,52,168,15703,36120,119309,1,4,33,36,40,42,45,50,52,0.30952380952380953,0.4347452934662237,0.3027432968175075,11.689472045307607,0,0.25,0.19642857142857142,0.21428571428571427,0.23809523809523808,0.25,0.26785714285714285,0.2976190476190476,0.30952380952380953
10_0,CIUDAD DEL ESTE,ALTO PARANA,2010,37,129,18374,36312,134659,1,4,26,26,32,34,35,36,37,0.2868217054263566,0.5060035250055078,0.2696589162254287,11.810500935961494,1,0.25,0.20155038759689922,0.20155038759689922,0.24806201550387597,0.26356589147286824,0.2713178294573643,0.27906976744186046,0.2868217054263566
10_1,DOCTOR JUAN LEON MALLORQUIN,ALTO PARANA,2006,9,18,1377,2672,8741,1,2,3,4,5,6,7,8,9,0.5,0.5153443113772455,0.30568584830110973,9.075779878580487,0,0.5,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.5
10_1,DOCTOR JUAN LEON MALLORQUIN,ALTO PARANA,2010,11,36,1458,2526,9574,0,3,5,8,8,8,11,11,11,0.3055555555555556,0.5771971496437055,0.26383956548986837,9.166806369952454,1,0,0.1388888888888889,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3055555555555556,0.3055555555555556,0.3055555555555556
10_11,JUAN EMILIO O'LEARY,ALTO PARANA,2006,8,36,939,2547,8475,0,3,5,6,6,6,7,8,8,0.2222222222222222,0.36866902237926974,0.30053097345132745,9.044875932248651,0,0,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.19444444444444445,0.2222222222222222,0.2222222222222222
10_11,JUAN EMILIO O'LEARY,ALTO PARANA,2010,16,45,1215,2830,9785,0,4,9,10,12,12,12,15,16,0.35555555555555557,0.4293286219081272,0.28921819110884006,9.188605879830176,1,0,0.2,0.2222222222222222,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.35555555555555557
10_13,LOS CEDRALES,ALTO PARANA,2006,15,48,659,1580,4213,2,2,5,8,11,11,14,14,15,0.3125,0.4170886075949367,0.3750296700688346,8.345930261979017,0,1,0.10416666666666667,0.16666666666666666,0.22916666666666666,0.22916666666666666,0.2916666666666667,0.2916666666666667,0.3125
10_13,LOS CEDRALES,ALTO PARANA,2010,32,72,952,1535,4644,2,6,13,16,20,23,27,30,32,0.4444444444444444,0.6201954397394137,0.33053402239448754,8.443331342817782,1,0.3333333333333333,0.18055555555555555,0.2222222222222222,0.2777777777777778,0.3194444444444444,0.375,0.4166666666666667,0.4444444444444444
10_15,MBARACAYU,ALTO PARANA,2006,7,30,411,693,2443,1,3,2,2,4,5,6,7,7,0.23333333333333334,0.5930735930735931,0.2836676217765043,7.8009820712577405,0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.23333333333333334
10_15,MBARACAYU,ALTO PARANA,2010,22,60,437,653,2745,1,4,18,20,20,22,22,22,22,0.36666666666666664,0.669218989280245,0.2378870673952641,7.917536353943631,1,0.25,0.3,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
10_17,MINGA GUAZU,ALTO PARANA,2006,17,48,2827,7694,23187,1,3,6,8,8,12,15,15,17,0.3541666666666667,0.36742916558357164,0.3318238668219261,10.051347055774981,0,0.3333333333333333,0.125,0.16666666666666666,0.16666666666666666,0.25,0.3125,0.3125,0.3541666666666667
10_17,MINGA GUAZU,ALTO PARANA,2010,25,60,3421,7240,25835,0,4,13,16,17,18,20,22,25,0.4166666666666667,0.4725138121546961,0.28023998451712795,10.159485440721285,1,0,0.21666666666666667,0.26666666666666666,0.2833333333333333,0.3,0.3333333333333333,0.36666666666666664,0.4166666666666667
10_19,MINGA PORA,ALTO PARANA,2006,22,72,702,1338,4062,2,4,8,10,10,14,15,21,22,0.3055555555555556,0.5246636771300448,0.3293943870014771,8.30943074214033,0,0.5,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.19444444444444445,0.20833333333333334,0.2916666666666667,0.3055555555555556
10_19,MINGA PORA,ALTO PARANA,2010,36,72,1337,1944,5646,2,5,21,23,29,29,31,34,36,0.5,0.6877572016460906,0.3443145589798087,8.638702608813434,1,0.4,0.2916666666666667,0.3194444444444444,0.4027777777777778,0.4027777777777778,0.4305555555555556,0.4722222222222222,0.5
