unit,district,department,year,n_young,n_candidates,young_18to29_participation,young_18to29_register,total_electors,n_young_mayor,n_candidates_mayor,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35,youth_cand_share,youth_turnout_18to29,youth_share,log_total_electors,post,youth_cand_share_mayor,youth_cand_share_le29,youth_cand_share_le30,youth_cand_share_le31,youth_cand_share_le32,youth_cand_share_le33,youth_cand_share_le34,youth_cand_share_le35
0_0,ASUNCION,CAPITAL,2015,127,408,52296,103368,403444,0,3,62,68,82,90,102,116,127,0.3112745098039216,0.5059205943812398,0.2562139974816827,12.90779297143475,0,0,0.15196078431372548,0.16666666666666666,0.20098039215686275,0.22058823529411764,0.25,0.28431372549019607,0.3112745098039216
0_0,ASUNCION,CAPITAL,2021,147,552,63569,112309,431876,3,7,68,81,95,117,124,135,147,0.266304347826087,0.5660187518364512,0.260049180783373,12.975893788986195,1,0.42857142857142855,0.12318840579710146,0.14673913043478262,0.1721014492753623,0.21195652173913043,0.2246376811594203,0.24456521739130435,0.266304347826087
10_0,CIUDAD DEL ESTE,ALTO PARANA,2015,84,203,28905,61642,183811,0,7,50,57,63,68,73,80,84,0.41379310344827586,0.4689172966483891,0.3353553378198258,12.121663334773425,0,0,0.24630541871921183,0.28078817733990147,0.3103448275862069,0.33497536945812806,0.35960591133004927,0.39408866995073893,0.41379310344827586
10_0,CIUDAD DEL ESTE,ALTO PARANA,2021,93,336,40435,73631,219475,4,13,44,52,57,70,78,87,93,0.2767857142857143,0.5491572842960166,0.3354869575122451,12.29899360979441,1,0.3076923076923077,0.13095238095238096,0.15476190476190477,0.16964285714285715,0.20833333333333334,0.23214285714285715,0.25892857142857145,0.2767857142857143
10_1,DOCTOR JUAN LEON MALLORQUIN,ALTO PARANA,2015,15,48,2146,3459,11633,0,4,7,9,9,12,13,13,15,0.3125,0.6204105232726221,0.29734376343161695,9.361601165816767,0,0,0.14583333333333334,0.1875,0.1875,0.25,0.2708333333333333,0.2708333333333333,0.3125
10_1,DOCTOR JUAN LEON MALLORQUIN,ALTO PARANA,2021,18,60,2747,4189,13284,0,3,6,10,11,12,12,13,18,0.3,0.6557650990689902,0.3153417645287564,9.494315582496638,1,0,0.1,0.16666666666666666,0.18333333333333332,0.2,0.2,0.21666666666666667,0.3
10_11,JUAN EMILIO O'LEARY,ALTO PARANA,2015,11,48,2073,4231,12483,0,3,4,5,6,6,8,9,11,0.22916666666666666,0.4899550933585441,0.33894095970519905,9.432122997651051,0,0,0.08333333333333333,0.10416666666666667,0.125,0.125,0.16666666666666666,0.1875,0.22916666666666666
10_11,JUAN EMILIO O'LEARY,ALTO PARANA,2021,21,60,2710,4978,14859,0,3,7,9,12,16,17,17,21,0.35,0.5443953394937726,0.33501581533077596,9.6063610212563475,1,0,0.11666666666666667,0.15,0.2,0.26666666666666666,0.2833333333333333,0.2833333333333333,0.35
10_13,LOS CEDRALES,ALTO PARANA,2015,35,81,1366,2118,5960,0,2,19,20,22,26,29,31,35,0.43209876543209874,0.6449480642115203,0.3553691275167785,8.692825760059396,0,0,0.2345679012345679,0.24691358024691357,0.2716049382716049,0.32098765432098764,0.35802469135802467,0.38271604938271603,0.43209876543209874
10_13,LOS CEDRALES,ALTO PARANA,2021,49,96,1594,2409,7342,0,2,31,34,39,43,45,45,49,0.5104166666666666,0.6616853466168535,0.3281122309997276,8.90136656405678,1,0,0.3229166666666667,0.3541666666666667,0.40625,0.4479166666666667,0.46875,0.46875,0.5104166666666666
10_15,MBARACAYU,ALTO PARANA,2015,25,70,655,958,3437,2,5,12,14,17,18,22,23,25,0.35714285714285715,0.6837160751565762,0.27873145184754144,8.142354276849835,0,0.4,0.17142857142857143,0.2,0.24285714285714285,0.2571428571428571,0.3142857142857143,0.32857142857142857,0.35714285714285715
10_15,MBARACAYU,ALTO PARANA,2021,23,60,1005,1401,4739,0,2,9,10,12,13,16,20,23,0.38333333333333336,0.7173447537473233,0.29563198987128086,8.463581421967588,1,0,0.15,0.16666666666666666,0.2,0.21666666666666667,0.26666666666666666,0.3333333333333333,0.38333333333333336
10_17,MINGA GUAZU,ALTO PARANA,2015,32,107,5816,13847,39023,0,7,19,20,21,23,26,28,32,0.29906542056074764,0.42001877663031706,0.3548420162468288,10.571906494871117,0,0,0.17757009345794392,0.18691588785046728,0.19626168224299065,0.21495327102803738,0.24299065420560748,0.2616822429906542,0.29906542056074764
10_17,MINGA GUAZU,ALTO PARANA,2021,49,168,9943,17893,50908,0,6,27,32,36,42,43,45,49,0.2916666666666667,0.5556921701223942,0.3514771745108824,10.837775361111937,1,0,0.16071428571428573,0.19047619047619047,0.21428571428571427,0.25,0.25595238095238093,0.26785714285714285,0.2916666666666667
10_19,MINGA PORA,ALTO PARANA,2015,39,107,2108,2956,7832,1,3,22,24,25,29,30,35,39,0.3644859813084112,0.713125845737483,0.3774259448416752,8.965973184210347,0,0.3333333333333333,0.205607476635514,0.22429906542056074,0.2336448598130841,0.27102803738317754,0.2803738317757009,0.32710280373831774,0.3644859813084112
10_19,MINGA PORA,ALTO PARANA,2021,33,83,2082,3039,9103,1,4,20,22,25,26,29,30,33,0.39759036144578314,0.6850937808489634,0.3338459848401626,9.116359308505288,1,0.25,0.24096385542168675,0.26506024096385544,0.30120481927710846,0.3132530120481928,0.3493975903614458,0.3614457831325301,0.39759036144578314
10_2,DOCTOR RAUL PEÑA,ALTO PARANA,2015,14,45,863,1233,3552,0,2,6,7,9,11,13,13,14,0.3111111111111111,0.699918896999189,0.3471283783783784,8.17526610411206,0,0,0.13333333333333333,0.15555555555555556,0.2,0.24444444444444444,0.28888888888888886,0.28888888888888886,0.3111111111111111
10_2,DOCTOR RAUL PEÑA,ALTO PARANA,2021,18,45,928,1344,4442,0,2,10,12,13,14,16,17,18,0.4,0.6904761904761905,0.3025664115263395,8.398860004454372,1,0,0.2222222222222222,0.26666666666666666,0.28888888888888886,0.3111111111111111,0.35555555555555557,0.37777777777777777,0.4
10_21,NARANJAL,ALTO PARANA,2015,12,36,760,1204,3645,0,3,7,9,9,10,11,11,12,0.3333333333333333,0.6312292358803987,0.33031550068587107,8.201111644442758,0,0,0.19444444444444445,0.25,0.25,0.2777777777777778,0.3055555555555556,0.3055555555555556,0.3333333333333333
10_21,NARANJAL,ALTO PARANA,2021,15,36,1010,1563,4894,0,2,4,6,7,11,13,15,15,0.4166666666666667,0.6461932181701855,0.3193706579485084,8.495765244002618,1,0,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.3055555555555556,0.3611111111111111,0.4166666666666667,0.4166666666666667
10_23,ÑACUNDAY,ALTO PARANA,2015,19,48,901,1373,4336,1,4,6,7,8,9,13,16,19,0.3958333333333333,0.6562272396212673,0.31665129151291516,8.374707543119483,0,0.25,0.125,0.14583333333333334,0.16666666666666666,0.1875,0.2708333333333333,0.3333333333333333,0.3958333333333333
10_23,ÑACUNDAY,ALTO PARANA,2021,24,72,1015,1582,5008,2,4,13,16,18,21,21,23,24,0.3333333333333333,0.6415929203539823,0.31589456869009586,8.518791912779934,1,0.5,0.18055555555555555,0.2222222222222222,0.25,0.2916666666666667,0.2916666666666667,0.3194444444444444,0.3333333333333333
10_25,PRESIDENTE FRANCO,ALTO PARANA,2015,28,108,8349,17134,46551,4,6,12,16,19,21,23,25,28,0.25925925925925924,0.48727675965915723,0.3680694292281584,10.748303764751594,0,0.6666666666666666,0.1111111111111111,0.14814814814814814,0.17592592592592593,0.19444444444444445,0.21296296296296297,0.23148148148148148,0.25925925925925924
10_25,PRESIDENTE FRANCO,ALTO PARANA,2021,82,204,10236,18239,54421,1,7,33,42,51,57,67,75,82,0.4019607843137255,0.5612149788913866,0.33514635894232003,10.904505387765616,1,0.14285714285714285,0.16176470588235295,0.20588235294117646,0.25,0.27941176470588236,0.3284313725490196,0.36764705882352944,0.4019607843137255
10_27,SAN ALBERTO,ALTO PARANA,2015,36,120,1484,2278,6718,1,4,17,22,24,26,27,31,36,0.3,0.6514486391571555,0.33908901458767493,8.812545770172237,0,0.25,0.14166666666666666,0.18333333333333332,0.2,0.21666666666666667,0.225,0.25833333333333336,0.3
10_27,SAN ALBERTO,ALTO PARANA,2021,12,60,2271,3364,10101,0,3,6,7,8,8,9,10,12,0.2,0.675089179548157,0.333036333036333,9.220389707829185,1,0,0.1,0.11666666666666667,0.13333333333333333,0.13333333333333333,0.15,0.16666666666666666,0.2
10_29,SAN CRISTOBAL,ALTO PARANA,2015,21,48,1376,2025,5234,0,2,9,10,11,12,15,17,21,0.4375,0.6795061728395062,0.3868933893771494,8.562931083090092,0,0,0.1875,0.20833333333333334,0.22916666666666666,0.25,0.3125,0.3541666666666667,0.4375
10_29,SAN CRISTOBAL,ALTO PARANA,2021,34,84,2030,2852,7861,0,3,17,21,25,28,30,34,34,0.40476190476190477,0.711781206171108,0.3628037145401348,8.969669103793757,1,0,0.20238095238095238,0.25,0.2976190476190476,0.3333333333333333,0.35714285714285715,0.40476190476190477,0.40476190476190477
10_3,DOMINGO MARTINEZ DE IRALA,ALTO PARANA,2015,6,36,1069,1474,4625,2,3,4,4,4,4,5,5,6,0.16666666666666666,0.7252374491180461,0.3187027027027027,8.439231649946526,0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1388888888888889,0.1388888888888889,0.16666666666666666
10_3,DOMINGO MARTINEZ DE IRALA,ALTO PARANA,2021,5,27,1055,1557,5293,0,2,3,3,3,3,3,4,5,0.18518518518518517,0.6775850995504175,0.29416210088796524,8.574140471857987,1,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.18518518518518517
10_30,SANTA FE DEL PARANA,ALTO PARANA,2015,15,47,778,973,2794,0,2,6,7,11,14,14,14,15,0.3191489361702128,0.7995889003083247,0.34824624194702936,7.935229539816907,0,0,0.1276595744680851,0.14893617021276595,0.23404255319148937,0.2978723404255319,0.2978723404255319,0.2978723404255319,0.3191489361702128
10_30,SANTA FE DEL PARANA,ALTO PARANA,2021,22,72,868,1208,3928,0,1,13,14,17,18,19,19,22,0.3055555555555556,0.7185430463576159,0.3075356415478615,8.275885669474356,1,0,0.18055555555555555,0.19444444444444445,0.2361111111111111,0.25,0.2638888888888889,0.2638888888888889,0.3055555555555556
10_31,SANTA RITA,ALTO PARANA,2015,32,72,3120,5505,13268,1,3,21,22,23,28,29,30,32,0.4444444444444444,0.5667574931880109,0.4149080494422671,9.493110400066943,0,0.3333333333333333,0.2916666666666667,0.3055555555555556,0.3194444444444444,0.3888888888888889,0.4027777777777778,0.4166666666666667,0.4444444444444444
10_31,SANTA RITA,ALTO PARANA,2021,31,72,4129,6831,17828,0,3,17,17,21,25,28,31,31,0.4305555555555556,0.604450300102474,0.38316131927305364,9.788525534066446,1,0,0.2361111111111111,0.2361111111111111,0.2916666666666667,0.3472222222222222,0.3888888888888889,0.4305555555555556,0.4305555555555556
10_33,SANTA ROSA DEL MONDAY,ALTO PARANA,2015,16,36,763,1154,3511,1,3,9,11,12,13,14,15,16,0.4444444444444444,0.6611785095320624,0.3286812873825121,8.163656176168432,0,0.3333333333333333,0.25,0.3055555555555556,0.3333333333333333,0.3611111111111111,0.3888888888888889,0.4166666666666667,0.4444444444444444
10_33,SANTA ROSA DEL MONDAY,ALTO PARANA,2021,12,36,913,1364,4595,0,2,4,6,6,7,8,9,12,0.3333333333333333,0.6693548387096774,0.2968443960826986,8.432724034789787,1,0,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.19444444444444445,0.2222222222222222,0.25,0.3333333333333333
